DATE              MARKET            SUBTOTAL       FINANCING
2025-02-01        CONSUMER            92,500              36
2025-02-03        CONSUMER            47,990              72
2025-02-07        CONSUMER            99,990              72
2025-02-10        CONSUMER            53,490              48
2025-02-12        COMMERCIAL          89,750              60
2025-02-14        CONSUMER           200,000              84
2025-02-15        CONSUMER            45,990              36
2025-02-18        CONSUMER           102,490              72
2025-02-19        CONSUMER            51,990              36
2025-02-21        CONSUMER            91,250              48
2025-02-22        COMMERCIAL         205,000            CASH
2025-02-23        CONSUMER           100,750              60
2025-02-25        CONSUMER            46,500              60
2025-02-26        CONSUMER            54,200              36
2025-02-27        CONSUMER            93,990              36
2025-02-28        CONSUMER            98,500              72
2025-02-28        CONSUMER            52,750              36
