DATE              MARKET            SUBTOTAL       FINANCING
2025-01-01        COMMERCIAL         44,990        36
2025-01-02        CONSUMER          101,250        72
2025-01-03        CONSUMER           52,990        48 
2025-01-04        CONSUMER           90,500        84
2025-01-05        CONSUMER          199,000        84
2025-01-06        CONSUMER           45,750        72
2025-01-07        CONSUMER           98,990        36
2025-01-08        COMMERCIAL         50,990        36
2025-01-09        CONSUMER           91,750        72
2025-01-10        CONSUMER          204,000        60
2025-01-11        CONSUMER          100,250        72
2025-01-12        COMMERCIAL         46,250        48
2025-01-13        CONSUMER           53,500        36
2025-01-14        CONSUMER           92,990        48
2025-01-15        CONSUMER           97,500        48
2025-01-16        CONSUMER           51,750        36
2025-01-17        CONSUMER           44,500        36
2025-01-18        CONSUMER           99,750        72
2025-01-19        CONSUMER           52,250        36
2025-01-20        CONSUMER           93,500        48
2025-01-21        CONSUMER           46,750        48
2025-01-22        CONSUMER          201,500        84
2025-01-23        CONSUMER           98,250        72
2025-01-24        CONSUMER           50,500        36
2025-01-25        CONSUMER           94,000        48
2025-01-26        CONSUMER           45,250        36
